FID,lon,lat,speed3,speed3_3
4425,117.794754,43.19977,-160.8995574,-160.8995574
4426,117.99073,43.181576,-160.7007435,-160.7007435
4427,118.18662,43.163067,-160.3728713,-160.3728713
4428,118.38247,43.144268,-159.0050065,-159.0050065
4429,118.5782,43.12517,-159.0325868,-159.0325868
4430,118.77385,43.105785,-159.6901488,-159.6901488
4431,118.96936,43.086113,-157.201089,-157.201089
4432,119.16468,43.06614,-153.2882276,-153.2882276
4433,119.35995,43.045868,-150.870148,-150.870148
4434,119.55511,43.025314,-149.1126743,-149.1126743
4435,119.75011,43.00446,-148.1340248,-148.1340248
4436,119.94505,42.983326,-147.5288102,-147.5288102
4437,120.1398,42.961895,-146.4325363,-146.4325363
4438,120.334404,42.94018,-145.3235914,-145.3235914
4439,120.52894,42.918167,-144.5136496,-144.5136496
4440,120.72329,42.895878,-144.2082806,-144.2082806
4441,120.91757,42.873295,-144.2082806,-144.2082806
4442,121.111694,42.850433,-144.7333849,-144.7333849
4443,121.30562,42.827282,-145.6132395,-145.6132395
4444,121.49945,42.80384,-147.7712451,-147.7712451
4445,121.693146,42.780117,-148.2528521,-148.2528521
4446,121.7225758,43.04589209,-147.1549442,-147.1549442
4447,121.9159558,43.05031009,-146.995566,-146.995566
4448,122.1091858,43.05442209,-147.1498592,-147.1498592
4449,122.3022258,43.05821509,-147.2251252,-147.2251252
4450,122.4951408,43.06169309,-147.019005,-147.019005
4451,109.90109,43.81618,-128.0453817,-128.0453817
4452,110.09487,43.809883,-127.4457174,-127.4457174
4453,110.29541,43.80326,-126.9364785,-126.9364785
4454,110.49258,43.79634,-126.7097246,-126.7097246
4455,110.691536,43.789085,-126.5330348,-126.5330348
4456,110.88956,43.781544,-126.2638645,-126.2638645
4457,111.08804,43.773678,-126.061531,-126.061531
4458,111.28649,43.765503,-126.0103889,-126.0103889
4459,111.48504,43.75702,-126.0510501,-126.0510501
4460,111.683655,43.748207,-126.0341277,-126.0341277
4461,111.88211,43.73909,-126.1253632,-126.1253632
4462,112.08056,43.72967,-125.8397449,-125.8397449
4463,112.27882,43.719933,-124.9024977,-124.9024977
4464,112.47702,43.70989,-124.0974753,-124.0974753
4465,112.675476,43.699528,-123.5635581,-123.5635581
4466,112.87372,43.688858,-123.5299446,-123.5299446
4467,113.07173,43.677883,-123.6295832,-123.6295832
4468,113.2701,43.666607,-123.9417793,-123.9417793
4469,113.468315,43.655014,-124.9775817,-124.9775817
4470,113.66634,43.64311,-124.9413943,-124.9413943
4471,113.864426,43.630894,-125.1459715,-125.1459715
4472,114.06241,43.618374,-126.7489094,-126.7489094
4473,114.26039,43.605553,-125.8698257,-125.8698257
4474,114.45835,43.59241,-126.2214099,-126.2214099
4475,114.65607,43.578987,-126.5217939,-126.5217939
4476,114.8539,43.56524,-128.5819453,-128.5819453
4477,115.05172,43.551186,55.8300805,55.8300805
4478,115.24946,43.53683,60.94539694,60.94539694
4479,115.44698,43.522175,76.34958217,76.34958217
4480,115.644485,43.50721,131.3086163,131.3086163
4481,115.84198,43.491947,179.1930736,179.1930736
4482,116.03924,43.476383,-164.3960557,-164.3960557
4483,116.23653,43.460506,-156.9417281,-156.9417281
4484,116.4338,43.444336,-153.8247126,-153.8247126
4485,116.630905,43.427856,-152.2065752,-152.2065752
4486,116.82795,43.411087,-152.6294399,-152.6294399
4487,117.02488,43.394012,-154.4731468,-154.4731468
4488,117.22176,43.376633,-155.0434586,-155.0434586
4489,117.41855,43.358963,-154.6355854,-154.6355854
4490,117.615204,43.340984,-154.3589968,-154.3589968
4491,117.81168,43.322716,-154.1079987,-154.1079987
4492,118.00818,43.304146,-154.9715785,-154.9715785
4493,118.20457,43.285286,-156.5713099,-156.5713099
4494,118.40077,43.266125,-158.1265231,-158.1265231
4495,118.597,43.24667,-159.3994386,-159.3994386
4496,118.79299,43.22693,-157.201089,-157.201089
4497,118.98888,43.206875,-153.2143013,-153.2143013
4498,119.18465,43.186543,-150.7511762,-150.7511762
4499,119.380295,43.165905,-148.8846702,-148.8846702
4500,119.575905,43.144985,-147.9794296,-147.9794296
4501,119.7713,43.12377,-147.4960136,-147.4960136
4502,119.966644,43.10227,-146.7476026,-146.7476026
4503,120.161835,43.08048,-145.6639211,-145.6639211
4504,120.356865,43.058388,-144.3446744,-144.3446744
4505,120.55176,43.036015,-142.8464646,-142.8464646
4506,120.746574,43.013355,-142.5946458,-142.5946458
4507,120.94121,42.990414,-143.1863875,-143.1863875
4508,121.135765,42.96718,-144.2645264,-144.2645264
4509,121.3301,42.94366,-146.0286816,-146.0286816
4510,121.52425,42.91985,-146.7174372,-146.7174372
4511,121.7482158,43.18887509,-146.2265957,-146.2265957
4512,121.9420098,43.19331109,-146.2241629,-146.2241629
4513,122.1355958,43.19743909,-146.3987656,-146.3987656
4514,122.3290558,43.20124509,-146.6775051,-146.6775051
4515,122.5223858,43.20474009,-146.0802017,-146.0802017
4516,109.89722,43.95906,-126.9762357,-126.9762357
4517,110.10279,43.952736,-126.6498637,-126.6498637
4518,110.294754,43.94611,-126.4808487,-126.4808487
4519,110.49456,43.93915,-126.2183029,-126.2183029
4520,110.69267,43.931885,-125.8504088,-125.8504088
4521,110.891754,43.92431,-125.4717975,-125.4717975
4522,111.09056,43.916416,-125.2357504,-125.2357504
4523,111.28968,43.908203,-125.1427698,-125.1427698
4524,111.48833,43.89968,-125.1541798,-125.1541798
4525,111.687485,43.890854,-125.2583508,-125.2583508
4526,111.885956,43.881706,-125.2016543,-125.2016543
4527,112.084785,43.872242,-124.3614214,-124.3614214
4528,112.28362,43.862476,-123.5659336,-123.5659336
4529,112.48262,43.85239,-123.0066534,-123.0066534
4530,112.681244,43.841995,-122.7607911,-122.7607911
4531,112.88011,43.83129,-122.4754458,-122.4754458
4532,113.078606,43.820274,-122.5022634,-122.5022634
4533,113.2774,43.808945,-122.9707735,-122.9707735
4534,113.47587,43.79732,-123.2864613,-123.2864613
4535,113.67451,43.785362,-123.8182479,-123.8182479
4536,113.872925,43.77311,-125.3552857,-125.3552857
4537,114.0715,43.760544,-124.6723013,-124.6723013
4538,114.269806,43.747677,-124.8544577,-124.8544577
4539,114.46827,43.7345,-124.781498,-124.781498
4540,114.66644,43.721012,-126.359104,-126.359104
4541,114.86458,43.707214,53.24632172,53.24632172
4542,115.0628,43.693115,55.61965622,55.61965622
4543,115.26102,43.67871,61.31385347,61.31385347
4544,115.458984,43.663998,74.6784912,74.6784912
4545,115.656975,43.648987,116.0033478,116.0033478
4546,115.85475,43.633667,180.0000031,180.0000031
4547,116.05256,43.618042,-158.7494972,-158.7494972
4548,116.25022,43.60211,-152.2759464,-152.2759464
4549,116.44796,43.58588,-149.6567537,-149.6567537
