lon,lat,uu01,vv01,speed,speed_1
111.8221,34.083717,3.51,0.02,0.326633734,0.326633734
111.995865,34.080505,2.83,0.02,0.405115805,0.405115805
112.169525,34.07705,2.8,0.02,0.409456185,0.409456185
112.34327,34.07334,3.43,0.02,0.334251843,0.334251843
112.517075,34.069386,6.17,0.02,0.18581731,0.18581731
112.690575,34.06518,7.5,0.03,0.22929814,0.22929814
112.86437,34.060738,7.28,0.04,0.314968483,0.314968483
113.037895,34.05604,6.29,0.05,0.455672761,0.455672761
113.21156,34.051105,5.96,0.06,0.577076218,0.577076218
113.38524,34.045918,5.65,0.1,1.014493028,1.014493028
113.55887,34.040478,5.39,0.11,1.169732332,1.169732332
113.7323,34.0348,5.13,0.11,1.228999285,1.228999285
113.90585,34.028873,4.81,0.11,1.310734625,1.310734625
114.07929,34.022705,4.74,0.12,1.450951862,1.450951862
114.25271,34.01629,4.48,0.13,1.662977383,1.662977383
114.42607,34.00962,3.89,0.14,2.062214748,2.062214748
114.59947,34.002716,3.53,0.14,2.272315542,2.272315542
114.77278,33.99556,3.43,0.12,2.004716144,2.004716144
114.94606,33.98816,2.87,0.08,1.597491309,1.597491309
115.11922,33.98052,1.85,0.08,2.477368594,2.477368594
115.2924,33.972633,1.45,0.08,3.159546552,3.159546552
115.465546,33.964504,1.15,0.08,3.981400853,3.981400853
115.63862,33.956127,0.84,0.07,4.766057879,4.766057879
115.81164,33.947506,0.59,0.05,4.846457322,4.846457322
115.98452,33.938644,0.13,0.02,8.750598443,8.750598443
116.15747,33.92954,0.01,0.01,45.02282465,45.02282465
118.227776,33.80139,0.01,0,0,0
118.39983,33.78915,0.01,0,0,0
118.57188,33.776665,0.02,0,0,0
118.7438,33.763943,0.03,0,0,0
118.91571,33.75098,0.06,0,0,0
119.08747,33.73778,0.06,0,0,0
119.259125,33.724346,0.19,0,0,0
119.43076,33.71068,0.63,0,0,0
119.60227,33.696762,0.58,0.01,0.988261406,0.988261406
119.77379,33.682617,0.41,0.01,1.397889698,1.397889698
119.945114,33.668236,0.34,0.01,1.685538814,1.685538814
120.1164,33.65361,0.21,0.03,8.13422606,8.13422606
120.28752,33.638763,0.12,0.02,9.467121635,9.467121635
120.4587,33.62367,0.08,0.02,14.04336285,14.04336285
120.629684,33.608345,0.04,0.02,26.57852536,26.57852536
120.80064,33.59278,0.03,0.03,45.02282465,45.02282465
120.97141,33.57699,0.02,0.01,26.57852536,26.57852536
121.1422,33.560963,0,0.01,90.04564931,90.04564931
121.31279,33.544704,0,0.01,90.04564931,90.04564931
123.01343,33.369377,2.35,0.23,5.592704223,5.592704223
123.1829,33.35059,2.96,0.33,6.364662621,6.364662621
123.521515,34.220776,1.54,0.52,18.66735203,18.66735203
107.47159,34.224262,1.54,0.37,13.51665632,13.51665632
107.64557,34.2275,1.39,0.3,12.18535851,12.18535851
107.81967,34.230484,1.27,0.31,13.72430396,13.72430396
107.993774,34.23322,1.08,0.37,18.92067205,18.92067205
108.16794,34.235714,0.99,0.31,17.3957911,17.3957911
108.34201,34.23794,1.01,0.22,12.29455598,12.29455598
108.51575,34.23994,1.15,0.17,8.413176855,8.413176855
108.69046,34.241676,1.18,0.13,6.290082165,6.290082165
108.864075,34.24317,0.71,0.11,8.811259628,8.811259628
109.03854,34.244423,0.93,0.1,6.140368855,6.140368855
109.21292,34.245415,1.18,0.1,4.846457322,4.846457322
109.387054,34.246162,1.14,0.1,5.015656479,5.015656479
109.56076,34.246662,1.06,0.09,4.855557948,4.855557948
109.73459,34.246918,1.09,0.07,3.67636328,3.67636328
109.91153,34.246914,1.15,0.06,2.988151856,2.988151856
110.08393,34.246677,1.21,0.06,2.840227715,2.840227715
110.25793,34.24618,1.2,0.05,2.387154216,2.387154216
110.43296,34.245445,1.16,0.05,2.469369779,2.469369779
110.60652,34.244465,1.05,0.04,2.182747964,2.182747964
110.780594,34.24323,0.79,0.03,2.175847176,2.175847176
110.95429,34.241753,0.74,0.03,2.322708104,2.322708104
111.129,34.24002,0.8,0.02,1.432822564,1.432822564
111.303116,34.238037,1.72,0.02,0.666537876,0.666537876
111.47711,34.23581,4.11,0.04,0.557888379,0.557888379
111.65091,34.23333,4.07,0.04,0.56337096,0.56337096
111.82521,34.2306,3.53,0.04,0.649545467,0.649545467
111.99929,34.227623,1.89,0.03,0.9098417,0.9098417
112.17349,34.224403,1.94,0.02,0.590956805,0.590956805
112.34736,34.220932,2.47,0.02,0.464158607,0.464158607
112.52135,34.217216,5.35,0.02,0.214297472,0.214297472
112.69537,34.21324,7.63,0.02,0.150261362,0.150261362
112.869354,34.20903,7.69,0.03,0.223632835,0.223632835
113.04311,34.204563,7.29,0.04,0.314536436,0.314536436
113.21723,34.199852,6.83,0.05,0.419647268,0.419647268
113.391136,34.194893,6.43,0.07,0.624040489,0.624040489
