lon,lat,uu01,vv01,vv02
117.218445,34.17713,0,0,0
117.39158,34.166744,0,0,0
117.56455,34.15611,0,0,0
117.73752,34.14523,0,0,0
117.91044,34.134106,0,0,0
118.08318,34.12274,0,0,0
118.25598,34.111137,0,0,0
118.428635,34.09929,0,0,0
118.60116,34.0872,0,0,0
118.7737,34.074875,0,0,0
118.94616,34.062298,0,0,0
119.118484,34.049488,0.01,0,0
119.29073,34.036438,0.02,0,0
119.46295,34.023144,0.05,0,0
119.635056,34.009613,0.09,0,0
119.80705,33.995846,0.13,0,0
119.97899,33.98184,0.32,0,0
120.150856,33.96759,0.19,0,0
120.32263,33.953102,0.07,0.03,0.03
120.49427,33.938385,0.05,0.03,0.03
120.66583,33.923424,0.03,0.03,0.03
120.83731,33.908226,0.01,0.02,0.02
121.008675,33.892796,0,0.01,0.01
121.179955,33.87713,0,0.01,0.01
121.35119,33.86122,0,0.01,0.01
121.52228,33.845074,0,0,0
121.69323,33.82871,0,0,0
121.86414,33.8121,0,0,0
122.034904,33.795254,0,0,0
122.20559,33.77818,0,0,0
122.376175,33.76087,0,0,0
122.5466,33.74333,0,0,0
122.71694,33.72556,0,0,0
122.88717,33.707558,0,0.02,0.02
123.057335,33.68932,1.93,0.46,0.46
123.227325,33.67085,1.49,0.55,0.55
123.397224,33.652157,1.04,0.63,0.63
123.567024,33.63323,1.22,0.57,0.57
107.63742,34.508556,1.18,0.44,0.44
107.812225,34.512062,0.76,0.46,0.46
107.98685,34.51532,0.61,0.43,0.43
108.16165,34.518333,0.95,0.47,0.47
108.33621,34.521088,1.21,0.55,0.55
108.51062,34.523598,1.33,0.59,0.59
108.68567,34.52585,1.19,0.53,0.53
108.86014,34.52786,1.18,0.51,0.51
109.03491,34.529617,1.11,0.44,0.44
109.20969,34.531113,1.13,0.33,0.33
109.38483,34.53237,1.08,0.32,0.32
109.559875,34.53337,1.09,0.33,0.33
109.73239,34.53412,1.14,0.42,0.42
109.90933,34.53462,1.18,0.35,0.35
110.08393,34.534874,1.16,0.24,0.24
110.259445,34.534874,1.06,0.15,0.15
110.43431,34.534626,1.1,0.12,0.12
110.60813,34.53414,0.98,0.1,0.1
