FID,lon,lat,pm02,pm02_1
2430,112.51318,39.493874,19.24,19.24
2431,112.69929,39.487095,13.22,13.22
2432,112.88561,39.48003,13.23,13.23
2433,113.07199,39.472683,11.16,11.16
2434,113.25811,39.465057,8.91,8.91
2435,113.44424,39.457153,7.22,7.22
2436,113.63049,39.448967,6.29,6.29
2437,113.816444,39.4405,5.36,5.36
2438,114.00248,39.431755,4.56,4.56
2439,114.18849,39.422726,4,4
2440,114.37444,39.41343,3.77,3.77
2441,114.56047,39.403847,3.6,3.6
2442,114.746155,39.393986,3.51,3.51
2443,114.93189,39.38385,3.29,3.29
2444,115.11765,39.37343,3.14,3.14
2445,115.30338,39.362736,3.11,3.11
2446,115.48905,39.351753,3.07,3.07
2447,115.674614,39.340504,3.41,3.41
2448,115.86014,39.328987,3,3
2449,116.04556,39.31719,2.27,2.27
2450,116.230934,39.305103,2.14,2.14
2451,116.41625,39.292763,1.95,1.95
2452,116.60145,39.280125,1.74,1.74
2453,116.78663,39.267223,1.66,1.66
2454,116.97171,39.254047,1.63,1.63
2455,117.15671,39.2406,1.62,1.62
2456,117.341606,39.22688,1.62,1.62
2457,117.526505,39.212875,1.63,1.63
2458,117.71119,39.198612,1.66,1.66
2459,117.89596,39.184067,1.72,1.72
2460,118.08049,39.16925,1.77,1.77
2461,118.265015,39.154163,1.86,1.86
2462,118.449394,39.138817,1.99,1.99
2463,118.63382,39.123188,1.99,1.99
2464,118.81798,39.10729,7.28,7.28
2465,119.00211,39.09113,7.91,7.91
2466,119.186165,39.074696,8.91,8.91
2467,119.37011,39.057983,9.77,9.77
2468,119.55398,39.041023,10.94,10.94
2469,119.73772,39.023777,11.93,11.93
2470,119.92128,39.00627,13.09,13.09
2471,120.104866,38.988506,13,13
2472,120.288216,38.97047,12.41,12.41
2473,120.47158,38.95216,10.61,10.61
2474,120.6547,38.93359,9.77,9.77
2475,120.83784,38.91476,9.48,9.48
2476,121.020775,38.895664,9.11,9.11
2477,121.203674,38.8763,8.76,8.76
2478,121.38632,38.85669,7.65,7.65
2479,121.56896,38.836803,6.98,6.98
2480,121.7514,38.81666,7.01,7.01
2481,121.93379,38.79625,6.55,6.55
2482,122.11604,38.77558,6.64,6.64
2483,122.29816,38.754665,7.23,7.23
2484,122.48008,38.73347,7.59,7.59
2485,122.63844,38.9732315,5.8,5.8
2486,109.90109,39.702927,30.7,30.7
2487,110.09692,39.70009,41.71,41.71
2488,110.276955,39.696968,46.34,46.34
2489,110.46436,39.69356,37.29,37.29
2490,110.65072,39.68986,35.01,35.01
2491,110.837204,39.685883,33.6,33.6
2492,111.024506,39.681625,34.35,34.35
2493,111.21111,39.677082,34.15,34.15
2494,111.397316,39.672256,31.92,31.92
2495,111.58424,39.667137,32.74,32.74
2496,111.77112,39.66175,32.72,32.72
2497,111.95775,39.65608,32.39,32.39
2498,112.14475,39.650116,26.74,26.74
2499,112.33129,39.643864,21.77,21.77
2500,112.51808,39.63734,18.37,18.37
2501,112.704796,39.630535,13.83,13.83
2502,112.89137,39.62345,13.53,13.53
2503,113.07797,39.616077,11.07,11.07
2504,113.26459,39.60842,8.89,8.89
2505,113.45111,39.6005,7,7
2506,113.63755,39.59227,5.87,5.87
2507,113.82393,39.58378,5.28,5.28
2508,114.0103,39.575,4.59,4.59
2509,114.196754,39.565945,4.06,4.06
2510,114.38307,39.556602,3.85,3.85
2511,114.56948,39.54699,3.7,3.7
2512,114.75547,39.537098,3.56,3.56
2513,114.94162,39.52692,3.38,3.38
2514,115.12782,39.516464,3.23,3.23
2515,115.31379,39.50573,3.15,3.15
2516,115.499794,39.49472,3.98,3.98
2517,115.68586,39.483437,3.36,3.36
2518,115.8716,39.471867,2.53,2.53
2519,116.05745,39.460022,2.29,2.29
2520,116.243195,39.4479,2.16,2.16
2521,116.42883,39.43551,1.92,1.92
2522,116.61441,39.42284,1.74,1.74
2523,116.79988,39.40989,1.65,1.65
2524,116.98534,39.396664,1.61,1.61
2525,117.17072,39.383163,1.61,1.61
2526,117.356,39.36939,1.6,1.6
2527,117.54122,39.35535,1.62,1.62
2528,117.72635,39.34103,1.68,1.68
2529,117.91141,39.326435,1.73,1.73
2530,118.09637,39.31157,1.78,1.78
2531,118.28117,39.29643,1.9,1.9
2532,118.465996,39.28102,1.92,1.92
2533,118.65068,39.265343,4.49,4.49
2534,118.83525,39.24939,4.8,4.8
2535,119.01974,39.23317,4.93,4.93
2536,119.204155,39.21668,5.5,5.5
2537,119.38842,39.199917,6.61,6.61
2538,119.572556,39.182877,7.41,7.41
2539,119.756676,39.16558,8.34,8.34
2540,119.94067,39.148018,8.68,8.68
2541,120.12454,39.130184,7.96,7.96
2542,120.30831,39.112083,6.36,6.36
2543,120.491905,39.09371,6.29,6.29
2544,120.67546,39.075085,5.28,5.28
2545,120.858925,39.056183,5.47,5.47
2546,121.04223,39.03702,4.9,4.9
2547,121.22538,39.017593,5.15,5.15
2548,121.408455,38.997894,5.31,5.31
2549,121.59137,38.97795,5.54,5.54
2550,121.77419,38.95773,5.67,5.67
