lon,lat,pm01,pm02
109.73239,34.53412,13.2,13.2
109.90933,34.53462,10.58,10.58
110.08393,34.534874,10.06,10.06
110.259445,34.534874,10.24,10.24
110.43431,34.534626,13.6,13.6
110.60813,34.53414,13.98,13.98
110.78335,34.53341,15.23,15.23
110.957565,34.532417,18.09,18.09
111.13264,34.53117,20.92,20.92
111.307465,34.529682,26.33,26.33
111.482,34.527935,31.58,31.58
111.65682,34.525944,38.55,38.55
111.83152,34.5237,33.88,33.88
112.006134,34.521194,28.92,28.92
112.180954,34.51845,27.63,27.63
112.355515,34.51545,29.57,29.57
112.530106,34.512207,40.19,40.19
112.704796,34.508713,41.48,41.48
112.879295,34.50496,38.94,38.94
113.05384,34.50097,34.29,34.29
113.22841,34.496716,35.48,35.48
113.40283,34.49222,34.58,34.58
113.57731,34.487476,32.39,32.39
113.751816,34.482483,27.82,27.82
113.926056,34.477238,24.29,24.29
114.10046,34.471752,20.48,20.48
114.27471,34.466007,17.81,17.81
114.449066,34.460014,17.09,17.09
114.62326,34.45378,16.43,16.43
114.79747,34.447296,15.49,15.49
114.97166,34.44056,14.85,14.85
115.14583,34.43358,13.34,13.34
115.31983,34.42635,12.59,12.59
115.493805,34.418873,10.47,10.47
115.66774,34.411148,10.78,10.78
115.841644,34.40317,13.46,13.46
116.01559,34.39496,17.57,17.57
116.18932,34.38649,27.99,27.99
116.363075,34.377785,27.66,27.66
116.53687,34.36882,24.05,24.05
116.7104,34.359615,18.16,18.16
116.883995,34.350174,16.73,16.73
117.05745,34.340477,17.37,17.37
117.23091,34.330536,17.86,17.86
117.404335,34.320354,19.3,19.3
117.57767,34.30993,21.61,21.61
117.7509,34.29925,23.81,23.81
117.92405,34.28834,27.53,27.53
118.097115,34.277172,28.82,28.82
118.27014,34.265774,25.68,25.68
118.443115,34.254124,21.96,21.96
118.61599,34.242237,19.69,19.69
118.78877,34.230103,19.93,19.93
118.96147,34.217735,18.44,18.44
119.13412,34.205116,19.94,19.94
119.30673,34.192265,20.64,20.64
119.47918,34.179165,17.75,17.75
119.651566,34.16582,16.62,16.62
119.8239,34.15224,14.96,14.96
119.99608,34.138428,11.88,11.88
120.16822,34.12437,7.71,7.71
120.34026,34.110077,5.67,5.67
120.51222,34.09553,5.11,5.11
120.68407,34.080765,3.56,3.56
120.85583,34.06575,1.61,1.61
121.027435,34.0505,1.1,1.1
121.19905,34.035015,1.03,1.03
121.37048,34.019287,0.83,0.83
121.541855,34.003334,0.61,0.61
