FID,lon,lat,pm03
799,113.119545,36.218136,5.25
800,113.29777,36.213177,5.04
801,113.47604,36.207966,4.83
802,113.65426,36.202496,4.59
803,113.83237,36.196766,4.48
804,114.010445,36.19077,4.04
805,114.18858,36.184517,3.92
806,114.366646,36.178,3.86
807,114.54472,36.17124,3.64
808,114.72261,36.164207,2.87
809,114.90045,36.156925,2.25
810,115.07837,36.149376,1.96
811,115.256134,36.14158,1.77
812,115.433975,36.13352,1.71
813,115.61172,36.1252,1.71
814,115.78934,36.11662,1.42
815,115.967,36.107788,1.5
816,116.14443,36.098705,1.37
817,116.32199,36.08935,1.38
818,116.49939,36.07975,1.29
819,116.67671,36.0699,1.14
820,116.85398,36.05978,0.94
821,117.03121,36.04941,1.05
822,117.208435,36.038784,1.38
823,117.38552,36.027905,1.83
824,117.56255,36.01677,2.06
825,117.73944,36.00538,2.24
826,117.91637,35.99374,2.33
827,118.09312,35.981842,2.1
828,118.26984,35.96969,0.93
829,118.44651,35.957287,0.37
830,118.62308,35.944633,0.25
831,118.799515,35.93173,0.17
832,118.97595,35.918568,0.16
833,119.15224,35.905155,0.18
834,119.32846,35.89149,0.2
835,119.504654,35.877583,0.25
836,119.68063,35.86342,0.31
837,119.85657,35.849003,0.37
838,120.03243,35.834343,0.43
839,120.20819,35.819427,0.5
840,120.38388,35.804268,0.59
841,120.55942,35.78886,0.71
842,120.73486,35.773197,0.79
843,120.91027,35.7573,0.87
844,121.08551,35.741142,0.98
845,121.260605,35.724743,1.07
846,121.43574,35.708103,1.17
847,121.61068,35.691216,1.27
848,121.7855,35.67408,1.41
849,121.960205,35.656696,1.42
850,122.134865,35.639072,5.72
851,122.30935,35.621212,5.8
852,122.48372,35.6031,6.49
853,109.90109,36.406437,5.04
854,110.081566,36.40592,5.11
855,110.26614,36.40514,5.07
856,110.44499,36.40409,5.03
857,110.62244,36.402782,5.32
858,110.801865,36.401207,5.71
859,110.980385,36.399376,6.04
860,111.15877,36.397278,6.39
861,111.33838,36.394924,8.17
862,111.516846,36.392307,10.76
863,111.69559,36.389423,11.64
864,111.8743,36.386284,12.28
865,112.05309,36.38288,12.12
866,112.231865,36.37922,10.17
867,112.41062,36.375286,8.43
868,112.58914,36.371098,7.12
869,112.76782,36.36665,6.17
870,112.9465,36.361935,5.85
